Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
see_n2_su_month,patient_information,,text,Months Used,,,,,,,[see_n2_t(1)] = '1',,,,,,
see_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[see_n2_t(1)] = '1',,,,,,
see_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n2_t(1)] = '1',,,,,,
see_n2_sp_months,patient_information,,text,Months Used,,,,,,,[see_n2_t(2)] = '1',,,,,,
see_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[see_n2_t(2)] = '1',,,,,,
see_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n2_t(2)] = '1',,,,,,
see_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[see_n2_t(2)] = '1',,,,,,
see_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[see_n2_t(3)] = '1',,,,,,
see_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[see_n2_t(3)] = '1',,,,,,
see_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[see_n2_t(3)] = '1',,,,,,
see_n3_name,patient_information,,text,Name of device #3,,,,,,,[see_num] >= 3,,,,,,
see_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[see_num] >= 3,,,,,,
see_n3_su_month,patient_information,,text,Months Used,,,,,,,[see_n3_t(1)] = '1',,,,,,
see_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[see_n3_t(1)] = '1',,,,,,
see_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n3_t(1)] = '1',,,,,,
see_n3_sp_months,patient_information,,text,Months Used,,,,,,,[see_n3_t(2)] = '1',,,,,,
see_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[see_n3_t(2)] = '1',,,,,,
see_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[see_n3_t(2)] = '1',,,,,,
see_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[see_n3_t(2)] = '1',,,,,,
see_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[see_n3_t(3)] = '1',,,,,,
see_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[see_n3_t(3)] = '1',,,,,,
see_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[see_n3_t(3)] = '1',,,,,,
hear_num,patient_information,HEARING,text,Hearing devices used (up to 3),,,number,0,3,,,,,,,,
hear_n1_name,patient_information,,text,Name of device #1,,,,,,,[hear_num] >= 1,,,,,,
hear_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[hear_num] >= 1,,,,,,
hear_n1_su_month,patient_information,,text,Months Used,,,,,,,[hear_n1_t(1)] = '1',,,,,,
hear_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n1_t(1)] = '1',,,,,,
hear_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n1_t(1)] = '1',,,,,,
hear_n1_sp_months,patient_information,,text,Months Used,,,,,,,[hear_n1_t(2)] = '1',,,,,,
hear_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n1_t(2)] = '1',,,,,,
hear_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n1_t(2)] = '1',,,,,,
hear_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[hear_n1_t(2)] = '1',,,,,,
hear_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[hear_n1_t(3)] = '1',,,,,,
hear_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[hear_n1_t(3)] = '1',,,,,,
hear_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[hear_n1_t(3)] = '1',,,,,,
hear_n2_name,patient_information,,text,Name of device #2,,,,,,,[hear_num] >= 2,,,,,,
hear_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[hear_num] >= 2,,,,,,
hear_n2_su_month,patient_information,,text,Months Used,,,,,,,[hear_n2_t(1)] = '1',,,,,,
hear_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n2_t(1)] = '1',,,,,,
hear_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n2_t(1)] = '1',,,,,,
hear_n2_sp_months,patient_information,,text,Months Used,,,,,,,[hear_n2_t(2)] = '1',,,,,,
hear_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n2_t(2)] = '1',,,,,,
hear_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n2_t(2)] = '1',,,,,,
hear_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[hear_n2_t(2)] = '1',,,,,,
hear_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[hear_n2_t(3)] = '1',,,,,,
hear_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[hear_n2_t(3)] = '1',,,,,,
hear_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[hear_n2_t(3)] = '1',,,,,,
hear_n3_name,patient_information,,text,Name of device #3,,,,,,,[hear_num] >= 3,,,,,,
hear_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[hear_num] >= 3,,,,,,
hear_n3_su_month,patient_information,,text,Months Used,,,,,,,[hear_n3_t(1)] = '1',,,,,,
hear_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n3_t(1)] = '1',,,,,,
hear_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n3_t(1)] = '1',,,,,,
hear_n3_sp_months,patient_information,,text,Months Used,,,,,,,[hear_n3_t(2)] = '1',,,,,,
hear_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[hear_n3_t(2)] = '1',,,,,,
hear_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[hear_n3_t(2)] = '1',,,,,,
hear_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[hear_n3_t(2)] = '1',,,,,,
hear_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[hear_n3_t(3)] = '1',,,,,,
hear_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[hear_n3_t(3)] = '1',,,,,,
hear_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[hear_n3_t(3)] = '1',,,,,,
rw_num,patient_information,READING/WRITING,text,Reading/Writing devices used (up to 3),,,number,0,3,,,,,,,,
rw_n1_name,patient_information,,text,Name of device #1,,,,,,,[rw_num] >= 1,,,,,,
rw_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rw_num] >= 1,,,,,,
rw_n1_su_month,patient_information,,text,Months Used,,,,,,,[rw_n1_t(1)] = '1',,,,,,
rw_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n1_t(1)] = '1',,,,,,
rw_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n1_t(1)] = '1',,,,,,
rw_n1_sp_months,patient_information,,text,Months Used,,,,,,,[rw_n1_t(2)] = '1',,,,,,
rw_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n1_t(2)] = '1',,,,,,
rw_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n1_t(2)] = '1',,,,,,
rw_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rw_n1_t(2)] = '1',,,,,,
rw_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rw_n1_t(3)] = '1',,,,,,
rw_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[rw_n1_t(3)] = '1',,,,,,
rw_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[rw_n1_t(3)] = '1',,,,,,
rw_n2_name,patient_information,,text,Name of device #2,,,,,,,[rw_num] >= 2,,,,,,
rw_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rw_num] >= 2,,,,,,
rw_n2_su_month,patient_information,,text,Months Used,,,,,,,[rw_n2_t(1)] = '1',,,,,,
rw_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n2_t(1)] = '1',,,,,,
rw_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n2_t(1)] = '1',,,,,,
rw_n2_sp_months,patient_information,,text,Months Used,,,,,,,[rw_n2_t(2)] = '1',,,,,,
rw_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n2_t(2)] = '1',,,,,,
rw_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n2_t(2)] = '1',,,,,,
rw_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rw_n2_t(2)] = '1',,,,,,
rw_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rw_n2_t(3)] = '1',,,,,,
rw_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[rw_n2_t(3)] = '1',,,,,,
rw_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[rw_n2_t(3)] = '1',,,,,,
rw_n3_name,patient_information,,text,Name of device #3,,,,,,,[rw_num] >= 3,,,,,,
rw_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rw_num] >= 3,,,,,,
rw_n3_su_month,patient_information,,text,Months Used,,,,,,,[rw_n3_t(1)] = '1',,,,,,
rw_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n3_t(1)] = '1',,,,,,
rw_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n3_t(1)] = '1',,,,,,
rw_n3_sp_months,patient_information,,text,Months Used,,,,,,,[rw_n3_t(2)] = '1',,,,,,
rw_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rw_n3_t(2)] = '1',,,,,,
rw_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rw_n3_t(2)] = '1',,,,,,
rw_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rw_n3_t(2)] = '1',,,,,,
rw_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rw_n3_t(3)] = '1',,,,,,
rw_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[rw_n3_t(3)] = '1',,,,,,
rw_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[rw_n3_t(3)] = '1',,,,,,
house_num,patient_information,HOUSEHOLD ACTIVITIES,text,Household Activities devices used (up to 3),,,number,0,3,,,,,,,,
house_n1_name,patient_information,,text,Name of device #1,,,,,,,[house_num] >= 1,,,,,,
house_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[house_num] >= 1,,,,,,
house_n1_su_month,patient_information,,text,Months Used,,,,,,,[house_n1_t(1)] = '1',,,,,,
house_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[house_n1_t(1)] = '1',,,,,,
house_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n1_t(1)] = '1',,,,,,
house_n1_sp_months,patient_information,,text,Months Used,,,,,,,[house_n1_t(2)] = '1',,,,,,
house_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[house_n1_t(2)] = '1',,,,,,
house_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n1_t(2)] = '1',,,,,,
house_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[house_n1_t(2)] = '1',,,,,,
house_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[house_n1_t(3)] = '1',,,,,,
house_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[house_n1_t(3)] = '1',,,,,,
house_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[house_n1_t(3)] = '1',,,,,,
house_n2_name,patient_information,,text,Name of device #2,,,,,,,[house_num] >= 2,,,,,,
house_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[house_num] >= 2,,,,,,
house_n2_su_month,patient_information,,text,Months Used,,,,,,,[house_n2_t(1)] = '1',,,,,,
house_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[house_n2_t(1)] = '1',,,,,,
house_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n2_t(1)] = '1',,,,,,
house_n2_sp_months,patient_information,,text,Months Used,,,,,,,[house_n2_t(2)] = '1',,,,,,
house_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[house_n2_t(2)] = '1',,,,,,
house_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n2_t(2)] = '1',,,,,,
house_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[house_n2_t(2)] = '1',,,,,,
house_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[house_n2_t(3)] = '1',,,,,,
house_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[house_n2_t(3)] = '1',,,,,,
house_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[house_n2_t(3)] = '1',,,,,,
house_n3_name,patient_information,,text,Name of device #3,,,,,,,[house_num] >= 3,,,,,,
house_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[house_num] >= 3,,,,,,
house_n3_su_month,patient_information,,text,Months Used,,,,,,,[house_n3_t(1)] = '1',,,,,,
house_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[house_n3_t(1)] = '1',,,,,,
house_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n3_t(1)] = '1',,,,,,
house_n3_sp_months,patient_information,,text,Months Used,,,,,,,[house_n3_t(2)] = '1',,,,,,
house_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[house_n3_t(2)] = '1',,,,,,
house_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[house_n3_t(2)] = '1',,,,,,
house_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[house_n3_t(2)] = '1',,,,,,
house_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[house_n3_t(3)] = '1',,,,,,
house_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[house_n3_t(3)] = '1',,,,,,
house_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[house_n3_t(3)] = '1',,,,,,
health_num,patient_information,HEALTH MAINTENANCE,text,Health Maintenance devices used (up to 3),,,number,0,3,,,,,,,,
health_n1_name,patient_information,,text,Name of device #1,,,,,,,[health_num] >= 1,,,,,,
health_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[health_num] >= 1,,,,,,
health_n1_su_month,patient_information,,text,Months Used,,,,,,,[health_n1_t(1)] = '1',,,,,,
health_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[health_n1_t(1)] = '1',,,,,,
health_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n1_t(1)] = '1',,,,,,
health_n1_sp_months,patient_information,,text,Months Used,,,,,,,[health_n1_t(2)] = '1',,,,,,
health_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[health_n1_t(2)] = '1',,,,,,
health_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n1_t(2)] = '1',,,,,,
health_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[health_n1_t(2)] = '1',,,,,,
health_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[health_n1_t(3)] = '1',,,,,,
health_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[health_n1_t(3)] = '1',,,,,,
health_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[health_n1_t(3)] = '1',,,,,,
health_n2_name,patient_information,,text,Name of device #2,,,,,,,[health_num] >= 2,,,,,,
health_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[health_num] >= 2,,,,,,
health_n2_su_month,patient_information,,text,Months Used,,,,,,,[health_n2_t(1)] = '1',,,,,,
health_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[health_n2_t(1)] = '1',,,,,,
health_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n2_t(1)] = '1',,,,,,
health_n2_sp_months,patient_information,,text,Months Used,,,,,,,[health_n2_t(2)] = '1',,,,,,
health_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[health_n2_t(2)] = '1',,,,,,
health_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n2_t(2)] = '1',,,,,,
health_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[health_n2_t(2)] = '1',,,,,,
health_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[health_n2_t(3)] = '1',,,,,,
health_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[health_n2_t(3)] = '1',,,,,,
health_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[health_n2_t(3)] = '1',,,,,,
health_n3_name,patient_information,,text,Name of device #3,,,,,,,[health_num] >= 3,,,,,,
health_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[health_num] >= 3,,,,,,
health_n3_su_month,patient_information,,text,Months Used,,,,,,,[health_n3_t(1)] = '1',,,,,,
health_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[health_n3_t(1)] = '1',,,,,,
health_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n3_t(1)] = '1',,,,,,
health_n3_sp_months,patient_information,,text,Months Used,,,,,,,[health_n3_t(2)] = '1',,,,,,
health_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[health_n3_t(2)] = '1',,,,,,
health_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[health_n3_t(2)] = '1',,,,,,
health_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[health_n3_t(2)] = '1',,,,,,
health_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[health_n3_t(3)] = '1',,,,,,
health_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[health_n3_t(3)] = '1',,,,,,
health_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[health_n3_t(3)] = '1',,,,,,
rec_num,patient_information,RECREATION AND LEISURE,text,Recreation and Leisure devices used (up to 3),,,number,0,3,,,,,,,,
rec_n1_name,patient_information,,text,Name of device #1,,,,,,,[rec_num] >= 1,,,,,,
rec_n1_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rec_num] >= 1,,,,,,
rec_n1_su_month,patient_information,,text,Months Used,,,,,,,[rec_n1_t(1)] = '1',,,,,,
rec_n1_su_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n1_t(1)] = '1',,,,,,
rec_n1_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n1_t(1)] = '1',,,,,,
rec_n1_sp_months,patient_information,,text,Months Used,,,,,,,[rec_n1_t(2)] = '1',,,,,,
rec_n1_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n1_t(2)] = '1',,,,,,
rec_n1_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n1_t(2)] = '1',,,,,,
rec_n1_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rec_n1_t(2)] = '1',,,,,,
rec_n1_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rec_n1_t(3)] = '1',,,,,,
rec_n1_sn_n,patient_information,,text,Need but does not want,,,,,,,[rec_n1_t(3)] = '1',,,,,,
rec_n1_sn_reas,patient_information,,notes,Reason,,,,,,,[rec_n1_t(3)] = '1',,,,,,
rec_n2_name,patient_information,,text,Name of device #2,,,,,,,[rec_num] >= 2,,,,,,
rec_n2_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rec_num] >= 2,,,,,,
rec_n2_su_month,patient_information,,text,Months Used,,,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_su_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n2_t(1)] = '1',,,,,,
rec_n2_sp_months,patient_information,,text,Months Used,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rec_n2_t(2)] = '1',,,,,,
rec_n2_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n2_sn_n,patient_information,,text,Need but does not want,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n2_sn_reas,patient_information,,notes,Reason,,,,,,,[rec_n2_t(3)] = '1',,,,,,
rec_n3_name,patient_information,,text,Name of device #3,,,,,,,[rec_num] >= 3,,,,,,
rec_n3_t,patient_information,,checkbox,Usage Type,"1, Support Currently Used | 2, Support Used in the Past | 3, Support Needed",,,,,,[rec_num] >= 3,,,,,,
rec_n3_su_month,patient_information,,text,Months Used,,,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_su_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_su_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n3_t(1)] = '1',,,,,,
rec_n3_sp_months,patient_information,,text,Months Used,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_perc,patient_information,,text,% of Day Used,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_satis,patient_information,,radio,"Satisfaction with supports (1 = very dissatisfied, 3 = neutral, 5 = very satisfied)","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5",,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sp_reas,patient_information,,notes,Reasons for No Longer Using,,,,,,,[rec_n3_t(2)] = '1',,,,,,
rec_n3_sn_nw,patient_information,,text,Need and Want but do not Have,,,,,,,[rec_n3_t(3)] = '1',,,,,,
rec_n3_sn_n,patient_information,,text,Need but does not want,,,,,,,[rec_n3_t(3)] = '1',,,,,,
rec_n3_sn_reas,patient_information,,notes,Reason,,,,,,,[rec_n3_t(3)] = '1',,,,,,
care_num,patient_information,SELF-CARE,text,Self-Care devices used (up to 3),,,number,0,3,,,,,,,,
care_n1_name,patient_information,,text,Name of device #1,,,,,,,[care_num] >= 1,,,,,,
